时间	BC	Dj	AC
0.0	1.437	2.28	1.751
0.1	1.437	2.28	1.716
0.2	1.437	2.28	1.623
0.3	1.437	2.28	1.577
0.4	1.437	2.28	1.549
0.5	1.437	2.28	1.53
0.6	1.437	2.28	1.517
0.7	1.437	2.28	1.507
0.8	1.437	2.28	1.499
0.9	1.437	2.28	1.493
1.0	1.437	2.28	1.488
1.1	1.437	2.28	1.484
1.2	1.437	2.28	1.48
1.3	1.437	2.28	1.477
1.4	1.437	2.28	1.474
1.5	1.437	2.28	1.472
1.6	1.437	2.28	1.47
1.7	1.437	2.28	1.468
1.8	1.437	2.28	1.467
1.9	1.437	2.28	1.465
2.0	1.437	2.28	1.464
2.1	1.437	2.28	1.463
2.2	1.437	2.28	1.461
2.3	1.437	2.28	1.46
2.4	1.437	2.28	1.459
2.5	1.437	2.28	1.459
2.6	1.437	2.28	1.458
2.7	1.437	2.28	1.457
2.8	1.437	2.28	1.456
2.9	1.437	2.28	1.456
3.0	1.437	2.28	1.455
3.1	1.437	2.28	1.455
3.2	1.437	2.28	1.454
3.3	1.437	2.28	1.454
3.4	1.437	2.28	1.453
3.5	1.437	2.28	1.453
3.6	1.437	2.28	1.452
3.7	1.437	2.28	1.452
3.8	1.437	2.28	1.451
3.9	1.437	2.28	1.451
4.0	1.437	2.28	1.451
4.1	1.437	2.28	1.45
4.2	1.437	2.28	1.45
4.3	1.437	2.28	1.45
4.4	1.437	2.28	1.449
4.5	1.437	2.28	1.449
4.6	1.437	2.28	1.449
4.7	1.437	2.28	1.449
4.8	1.437	2.28	1.448
